Season,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
2008,Carlos Zambrano,Cubs,38,85,4,9,14,0,0.00%,28.20%,0.217,0.436,0.337,0.337,0.554,0.382,127,-0.1,2.8,9,1.4,305
2007,Micah Owings,Diamondbacks,35,64,4,9,15,0,3.10%,25.00%,0.35,0.39,0.333,0.349,0.683,0.428,152,0,4.3,6.9,1.3,4253
2005,Jason Marquis,Cardinals,44,91,1,10,10,0,2.20%,12.10%,0.149,0.347,0.31,0.326,0.46,0.339,106,0,0.7,9.3,1.3,105
2007,Dontrelle Willis,Marlins,38,80,2,11,7,0,6.30%,16.30%,0.222,0.333,0.286,0.348,0.508,0.368,120,-0.5,1.5,8.6,1.2,1703
2001,Mike Hampton,Rockies,43,86,7,20,16,0,2.30%,24.40%,0.291,0.314,0.291,0.309,0.582,0.373,106,-0.4,0.2,9.3,1.2,430
2005,Carlos Zambrano,Cubs,34,84,1,8,6,0,0.00%,29.80%,0.163,0.426,0.3,0.3,0.463,0.325,92,0,-0.8,8.5,1,305
2002,Russ Ortiz,Giants,33,84,2,11,9,0,7.10%,20.20%,0.159,0.288,0.246,0.299,0.406,0.305,86,0,-1.5,8.4,1,1124
2002,Mike Hampton,Rockies,36,66,3,9,5,1,1.50%,19.70%,0.172,0.396,0.344,0.354,0.516,0.376,112,-0.2,0.8,6.6,1,430
2001,Livan Hernandez,Giants,35,85,1,7,8,0,0.00%,4.70%,0.086,0.303,0.296,0.296,0.383,0.294,77,0,-2.5,9.2,0.9,1116
2003,Russ Ortiz,Braves,35,82,2,6,10,0,4.90%,20.70%,0.143,0.308,0.257,0.303,0.4,0.306,81,0,-2,8.7,0.9,1124
2005,Dontrelle Willis,Marlins,40,101,1,14,11,0,3.00%,12.90%,0.076,0.291,0.261,0.289,0.337,0.276,66,0,-4.4,10.3,0.9,1703
2003,Woody Williams,Cardinals,34,86,1,12,7,0,5.80%,30.20%,0.129,0.364,0.243,0.299,0.371,0.294,75,0,-2.7,9.1,0.9,1190
2008,Micah Owings,- - -,40,62,1,7,6,0,8.10%,33.90%,0.107,0.471,0.304,0.361,0.411,0.344,101,0,0.1,6.6,0.9,4253
2007,Adam Wainwright,Cardinals,37,74,1,4,6,0,4.10%,24.30%,0.097,0.395,0.29,0.323,0.387,0.314,87,-0.5,-1.7,8,0.8,2233
2009,Micah Owings,Reds,41,58,3,7,10,0,1.70%,32.80%,0.278,0.333,0.259,0.281,0.537,0.342,105,0,0.3,6.3,0.8,4253
2004,Jason Marquis,Cardinals,35,76,0,6,9,1,1.30%,22.40%,0.083,0.375,0.292,0.297,0.375,0.291,72,0.2,-2.5,8.4,0.8,105
2005,Livan Hernandez,Nationals,35,97,2,7,7,0,0.00%,8.20%,0.122,0.25,0.244,0.253,0.366,0.267,61,0,-4.8,9.9,0.8,1116
2008,Brandon Backe,Astros,32,56,2,8,3,0,5.40%,32.10%,0.17,0.407,0.277,0.333,0.447,0.343,108,0,0.5,5.9,0.8,1529
2004,Livan Hernandez,Expos,36,97,1,2,10,0,1.00%,8.20%,0.123,0.264,0.247,0.256,0.37,0.269,53,0,-5.9,10.7,0.8,1116
2008,Braden Looper,Cardinals,42,80,0,5,4,0,5.00%,26.30%,0.079,0.381,0.254,0.299,0.333,0.283,69,0,-3.2,8.5,0.8,526
2005,Noah Lowry,Giants,34,75,0,6,7,0,4.00%,16.00%,0.102,0.333,0.271,0.302,0.373,0.294,74,0,-2.4,7.6,0.8,1833
2004,Adam Eaton,Padres,38,76,0,9,8,2,7.90%,21.10%,0.109,0.271,0.203,0.282,0.313,0.268,63,0.4,-3.2,8.4,0.8,1029
2003,Brett Tomko,Cardinals,35,78,0,4,9,0,5.10%,19.20%,0.016,0.375,0.286,0.328,0.302,0.287,71,-0.4,-3.4,8.3,0.7,1056
2004,Wes Obermueller,Brewers,26,42,0,2,5,0,2.40%,33.30%,0.077,0.6,0.385,0.4,0.462,0.378,128,0,1.5,4.6,0.7,1637
2000,Woody Williams,Padres,30,66,1,10,9,0,6.10%,39.40%,0.121,0.424,0.259,0.308,0.379,0.301,78,0,-1.9,7.6,0.7,1190
2002,Glendon Rusch,Brewers,37,81,1,6,8,0,1.20%,29.60%,0.045,0.439,0.288,0.299,0.333,0.28,66,0,-3.5,8.1,0.7,707
2009,Dan Haren,Diamondbacks,37,87,1,6,10,0,3.40%,25.30%,0.11,0.327,0.247,0.269,0.356,0.271,54,0,-5,9.4,0.7,1757
2004,Randy Wolf,Phillies,25,55,3,6,8,0,1.80%,18.20%,0.244,0.273,0.267,0.277,0.511,0.327,92,0,-0.6,6.1,0.7,976
2009,Carlos Zambrano,Cubs,35,72,4,7,11,0,1.40%,38.90%,0.246,0.289,0.217,0.225,0.464,0.288,66,0,-3,7.8,0.7,305
2000,Adam Eaton,Padres,23,45,0,6,4,2,13.30%,22.20%,0.053,0.393,0.289,0.4,0.342,0.348,109,0.4,0.9,5.2,0.7,1029
2009,Josh Johnson,Marlins,34,77,3,8,10,0,7.80%,42.90%,0.161,0.346,0.194,0.265,0.355,0.275,60,0,-3.8,8.4,0.7,4567
2002,Jason Jennings,Rockies,32,68,0,6,11,0,4.40%,19.10%,0.065,0.388,0.306,0.348,0.371,0.322,76,0,-2,6.8,0.7,434
2003,Carlos Zambrano,Cubs,32,80,2,9,6,0,1.30%,32.50%,0.147,0.34,0.24,0.25,0.387,0.273,60,0,-4.1,8.5,0.7,305
2006,Mark Mulder,Cardinals,17,36,1,5,5,0,13.90%,22.20%,0.2,0.375,0.28,0.4,0.48,0.385,134,0,1.6,4.3,0.7,932
2003,Mark Prior,Cubs,32,81,1,6,6,0,2.50%,33.30%,0.097,0.386,0.25,0.27,0.347,0.27,58,0,-4.4,8.6,0.7,301
2004,Tom Glavine,Mets,35,72,0,5,8,0,13.90%,13.90%,0.037,0.25,0.204,0.328,0.241,0.275,62,0,-3.5,8,0.7,90
2007,Tim Hudson,Braves,34,83,0,6,9,0,3.60%,21.70%,0.039,0.345,0.263,0.291,0.303,0.267,55,-0.1,-4.9,8.9,0.7,921
2007,Brad Penny,Dodgers,33,75,0,7,7,0,1.30%,30.70%,0.092,0.381,0.246,0.279,0.338,0.275,61,0,-3.8,8.1,0.7,535
2007,Kip Wells,Cardinals,35,54,1,7,5,0,0.00%,35.20%,0.075,0.485,0.321,0.321,0.396,0.315,87,0,-0.9,5.8,0.7,1012
2000,Mike Hampton,Mets,35,84,0,7,8,0,6.00%,23.80%,0,0.364,0.274,0.313,0.274,0.27,56,-0.4,-5.5,9.7,0.6,430
2003,Adam Eaton,Padres,39,68,2,4,3,0,5.90%,36.80%,0.161,0.31,0.196,0.262,0.357,0.273,66,0,-3,7.2,0.6,1029
